GAME,DATE,NUMBERS,MB,MP,JACKPOT
"MEGAMILLIONS","02/28/2017","20-33-45-58-69","4","2","ROLLOVER",
"MEGAMILLIONS","02/24/2017","12-29-33-42-68","14","3","ROLLOVER",
"MEGAMILLIONS","02/21/2017","09-21-30-32-75","9","5","ROLLOVER",
"MEGAMILLIONS","02/17/2017","04-56-58-67-75","8","5","ROLLOVER",
"MEGAMILLIONS","02/14/2017","07-11-33-60-68","15","5","ROLLOVER",
"MEGAMILLIONS","02/10/2017","32-39-51-62-75","14","5","ROLLOVER",
"MEGAMILLIONS","02/07/2017","23-28-37-56-71","12","5","ROLLOVER",
"MEGAMILLIONS","02/03/2017","03-06-29-30-64","3","5","ROLLOVER",
"MEGAMILLIONS","01/31/2017","03-14-27-62-72","4","3","ROLLOVER",
"MEGAMILLIONS","01/27/2017","17-37-53-54-61","8","3","CA",
"MEGAMILLIONS","01/24/2017","08-42-54-63-67","11","4","ROLLOVER",
"MEGAMILLIONS","01/20/2017","07-09-24-41-53","14","3","ROLLOVER",
"MEGAMILLIONS","01/17/2017","20-31-54-56-59","3","5","ROLLOVER",
"MEGAMILLIONS","01/13/2017","10-44-58-74-75","11","3","ROLLOVER",
"MEGAMILLIONS","01/10/2017","11-20-40-41-59","15","5","ROLLOVER",
"MEGAMILLIONS","01/06/2017","06-10-44-47-54","6","5","ROLLOVER",
"MEGAMILLIONS","01/03/2017","14-16-23-49-53","12","2","ROLLOVER",
"MEGAMILLIONS","12/30/2016","06-21-33-39-43","2","2","ROLLOVER",
"MEGAMILLIONS","12/27/2016","02-28-30-38-39","11","4","ROLLOVER",
"MEGAMILLIONS","12/23/2016","21-30-39-60-69","15","5","ROLLOVER",
"MEGAMILLIONS","12/20/2016","01-12-14-48-65","2","5","ROLLOVER",
"MEGAMILLIONS","12/16/2016","01-08-15-36-43","6","5","ROLLOVER",
"MEGAMILLIONS","12/13/2016","02-15-26-34-41","14","5","ROLLOVER",
"MEGAMILLIONS","12/09/2016","19-27-47-67-68","1","5","ROLLOVER",
"MEGAMILLIONS","12/06/2016","13-34-48-53-63","12","4","ROLLOVER",
"MEGAMILLIONS","12/02/2016","03-33-35-49-51","1","2","ROLLOVER",
"MEGAMILLIONS","11/29/2016","22-33-49-51-59","8","4","ROLLOVER",
"MEGAMILLIONS","11/25/2016","44-47-49-69-75","10","3","ROLLOVER",
"MEGAMILLIONS","11/22/2016","01-43-45-66-69","7","5","ROLLOVER",
"MEGAMILLIONS","11/18/2016","31-32-49-55-58","15","5","GA",
"MEGAMILLIONS","11/15/2016","09-17-23-57-71","6","3","ROLLOVER",
